stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
88425,1663,Windsor Transit Terminal,,42.31778321,-83.04346973,1,,0,,1
88088,1667,Riverside at Oak,,42.317055,-83.052782,1,,0,,1
88020,1669,Riverside at McKay,,42.315688,-83.057541,1,,0,,1
88213,1671,Campbell at Riverside,,42.31426518,-83.06062623,1,,0,,1
88362,1673,Campbell at University,,42.311868,-83.059107,1,,0,,1
88510,1305,Campbell at Martindale,,42.30939,-83.05752,1,,0,,1
88447,1675,Campbell at Wyandotte,,42.3069553,-83.05595324,1,,0,,1
88217,1677,Campbell at Rooney,,42.3043,-83.054285,1,,0,,1
87654,1679,Campbell at College,,42.30334,-83.053636,1,,0,,1
87492,1681,Campbell at Adanac,,42.301095,-83.052202,1,,0,,1
87831,1683,Campbell at Grove,,42.299598,-83.051243,1,,0,,1
88306,1685,Campbell at Taylor,,42.29803316,-83.05055869,1,,0,,1
88141,1687,Campbell at Pelletier,,42.29702072,-83.04989867,1,,0,,1
88325,1689,Campbell at Tecumseh,,42.295014,-83.048088,1,,0,,1
87997,1690,Campbell at Everts,,42.293586,-83.045005,1,,0,,1
87673,1692,Campbell at Curry,,42.29261,-83.04294,1,,0,,1
88347,1694,Dominion at Totten,,42.29127735,-83.04064433,1,,0,,1
87515,1696,Dominion at Arcadia,,42.288355,-83.038724,1,,0,,1
87448,1698,Dominion at McKay,,42.286106,-83.037272,1,,0,,1
88090,1700,Dominion at Ojibway,,42.281626,-83.034433,1,,0,,1
87451,1702,Dominion at Holy Names,,42.27920756,-83.03284798,1,,0,,1
88083,1703,Dominion at Northwood,,42.27726387,-83.03166976,1,,0,,1
87719,1706,Dominion at E.C. Row,,42.273384,-83.029216,1,,0,,1
87920,1708,Dominion at Labelle,,42.270875,-83.027559,1,,0,,1
87821,1711,Dominion at Grand Marais,,42.26815553,-83.02583891,1,,0,,1
