route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3278,723,678142,Transway1C,,1,759,101282,0,0
3278,723,678520,Transway1C,,0,759,101263,0,0
3278,723,678254,Transway1C,,0,765,101263,0,0
3278,723,678042,Transway1C,,1,765,101282,0,0
3278,723,678250,Transway1C,,0,765,101263,0,0
3278,723,678164,Transway1C,,1,765,101282,0,0
3278,723,678542,Transway1C,,0,765,101263,0,0
3278,723,678156,Transway1C,,1,765,101282,0,0
3278,723,678534,Transway1C,,0,765,101263,0,0
3278,723,678148,Transway1C,,1,765,101282,0,0
3278,723,678526,Transway1C,,0,765,101263,0,0
3278,723,678140,Transway1C,,1,765,101282,0,0
3278,723,678518,Transway1C,,0,765,101263,0,0
3278,723,678256,Transway1C,,0,764,101263,0,0
3278,723,678044,Transway1C,,1,764,101282,0,0
3278,723,678252,Transway1C,,0,764,101263,0,0
3278,723,678040,Transway1C,,1,764,101282,0,0
3278,723,678546,Transway1C,,0,764,101263,0,0
3278,723,678160,Transway1C,,1,764,101282,0,0
3278,723,678538,Transway1C,,0,764,101263,0,0
3278,723,678152,Transway1C,,1,764,101282,0,0
3278,723,678530,Transway1C,,0,764,101263,0,0
3278,723,678144,Transway1C,,1,764,101282,0,0
3278,723,678522,Transway1C,,0,764,101263,0,0
3278,723,678136,Transway1C,,1,764,101282,0,0
3278,723,678162,Transway1C,,1,767,101282,0,0
3278,723,678540,Transway1C,,0,767,101263,0,0
3278,723,678154,Transway1C,,1,767,101282,0,0
3278,723,678532,Transway1C,,0,767,101263,0,0
3278,723,678146,Transway1C,,1,767,101282,0,0
3278,723,678524,Transway1C,,0,767,101263,0,0
3278,723,678138,Transway1C,,1,767,101282,0,0
3278,724,678147,Transway1C,,1,58296,101282,0,0
3278,724,678525,Transway1C,,0,58296,101263,0,0
3278,724,678139,Transway1C,,1,58296,101282,0,0
3278,724,678545,Transway1C,,0,58287,101263,0,0
3278,724,678159,Transway1C,,1,58287,101282,0,0
3278,724,678537,Transway1C,,0,58287,101263,0,0
3278,724,678151,Transway1C,,1,58287,101282,0,0
3278,724,678529,Transway1C,,0,58287,101263,0,0
3278,724,678143,Transway1C,,1,58287,101282,0,0
3278,724,678521,Transway1C,,0,58287,101263,0,0
3278,724,678257,Transway1C,,0,58294,101263,0,0
3278,724,678045,Transway1C,,1,58294,101282,0,0
3278,724,678253,Transway1C,,0,58294,101263,0,0
3278,724,678041,Transway1C,,1,58294,101282,0,0
3278,724,678547,Transway1C,,0,58294,101263,0,0
3278,724,678161,Transway1C,,1,58294,101282,0,0
3278,724,678539,Transway1C,,0,58294,101263,0,0
3278,724,678153,Transway1C,,1,58294,101282,0,0
3278,724,678531,Transway1C,,0,58294,101263,0,0
3278,724,678145,Transway1C,,1,58294,101282,0,0
3278,724,678523,Transway1C,,0,58294,101263,0,0
3278,724,678137,Transway1C,,1,58294,101282,0,0
3278,724,678255,Transway1C,,0,58295,101263,0,0
3278,724,678043,Transway1C,,1,58295,101282,0,0
3278,724,678251,Transway1C,,0,58295,101263,0,0
3278,724,678165,Transway1C,,1,58295,101282,0,0
3278,724,678543,Transway1C,,0,58295,101263,0,0
3278,724,678157,Transway1C,,1,58295,101282,0,0
3278,724,678535,Transway1C,,0,58295,101263,0,0
3278,724,678149,Transway1C,,1,58295,101282,0,0
3278,724,678527,Transway1C,,0,58295,101263,0,0
3278,724,678141,Transway1C,,1,58295,101282,0,0
3278,724,678519,Transway1C,,0,58295,101263,0,0
3278,724,678163,Transway1C,,1,58296,101282,0,0
3278,724,678541,Transway1C,,0,58296,101263,0,0
3278,724,678155,Transway1C,,1,58296,101282,0,0
3278,724,678533,Transway1C,,0,58296,101263,0,0
3278,724,678397,NotinService,,1,58296,101278,0,0
3278,723,678396,NotinService,,1,767,101278,0,0
3278,723,678394,NotinService,,1,764,101278,0,0
3278,724,678395,NotinService,,1,58294,101278,0,0
3279,723,678438,Crosstown2,,1,759,101306,0,0
3279,723,678474,Crosstown2,,0,759,101298,0,0
3279,723,678434,Crosstown2,,1,759,101306,0,0
3279,723,678472,Crosstown2,,0,776,101298,0,0
3279,723,678432,Crosstown2,,1,776,101306,0,0
3279,723,678466,Crosstown2,,0,776,101298,0,0
3279,723,678426,Crosstown2,,1,776,101306,0,0
3279,723,678460,Crosstown2,,0,776,101298,0,0
3279,723,678420,Crosstown2,,1,776,101306,0,0
3279,723,678454,Crosstown2,,0,776,101298,0,0
3279,723,678414,Crosstown2,,1,776,101306,0,0
3279,723,678448,Crosstown2,,0,776,101298,0,0
3279,723,678408,Crosstown2,,1,776,101306,0,0
3279,723,678442,Crosstown2,,0,776,101298,0,0
3279,723,678468,Crosstown2,,0,769,101298,0,0
3279,723,678428,Crosstown2,,1,769,101306,0,0
3279,723,678462,Crosstown2,,0,769,101298,0,0
3279,723,678422,Crosstown2,,1,769,101306,0,0
3279,723,678456,Crosstown2,,0,769,101298,0,0
3279,723,678416,Crosstown2,,1,769,101306,0,0
3279,723,678450,Crosstown2,,0,769,101298,0,0
3279,723,678410,Crosstown2,,1,769,101306,0,0
3279,723,678444,Crosstown2,,0,769,101298,0,0
3279,723,678404,Crosstown2,,1,769,101306,0,0
3279,723,678476,Crosstown2,,0,775,101298,0,0
3279,723,678436,Crosstown2,,1,775,101306,0,0
